Quote,Author
"When I first bought bitcoin it took me two years of speculation to understand what Bitcoin really was. But once I fully had a grasp of it, it was life altering.",Russell Okung
Your time is finite. Your money should be too.,Ben Price
"Bitcoin should never have gotten off the ground, but it did.",Ross Ulbricht
There is no capacity to kill Bitcoin. Even the Chinese with their firewall and their extreme intervention in their society could not kill Bitcoin. […] My point here is: You can’t kill Bitcoin.,Patrick McHenry
Bitcoin is a language of value.,Jordan B Peterson
Ignorance is REKT.,Hugo Nguyen
"In comparison to modern distributed databases, blockchains are slow, ponderous, unnecessarily redundant and overly paranoid.",Dhruv Bansal
"If you don't trust people, trust code. ",Bryan Bishop 
We have something that is pretty organic in nature and very principled in its original design.,Jack Dorsey
The greatest shortcoming of the human race is our inability to understand the exponential function.,Albert Allen Bartlett
"It is not a cryptocurrency industry, it is a Bitcoin industry.",Neil Woodfine
You shall not confiscate. You shall not censor. You shall not inflate. You shall not counterfeit. These rules are the essence of Bitcoin's soul.,Hasu
"Bitcoin succeeds because it's sound, anti-fragile, resilient.",Dhruv Bansal
First step to understanding Bitcoin: admitting you don't understand Bitcoin.,Jameson Lopp
Austrian economics is necessary (but not sufficient) to understand Bitcoin.,Stephan Livera
Your money shouldn't steal from you.,Bitcoin Tina
It's 21 million or death.,Robert Breedlove
Satoshi built all of humanity a weapon to take that power for ourselves.,Hector Rosekrans
Bitcoin competes with central banks and base money. Liquid Network competes with SWIFT. Lightning Network competes with Visa.,Vortex
"Mere inflation — that is, the mere issuance of more money, with the consequence of higher wages and prices — may look like the creation of more demand. But in terms of the actual production and exchange of real things it is not.",Henry Hazlitt
Bitcoin is. And that is enough.,Beautyon
It's an organism. That's what it is.,Raoul Pal
The innovation is that BTC is hard to shut down. [...] Designed from the ground up to survive under the most adversarial conditions.,Hasu
"Ask not what bitcoin can do for you, but what you can do for bitcoin.",Adam Back
"A fixed money supply, or a supply altered only in accord with objective and calculable criteria, is a necessary condition to a meaningful just price of money.","Fr. Bernard W. Dempsey, S.J."
Decentralization isn't something you slap on to your marketing budget. It's absolutely integral to the whole fucking system.,Matt Odell
Bitcoin resists attempts to be confined in a narrow box.,Sebastian Kripfganz
Bitcoin is a risk asset with a specific set of investment characteristics that become increasingly more attractive the more irresponsible monetary and fiscal policy becomes.,Travis Kling
The twin pillars of Bitcoin's value proposition: (1) It's possible to secure and transport your wealth without anyone's permission (2) Your wealth cannot be debased. Everything else is noise.,Vijay Boyapati
"The first amendment is not there to protect popular speech, it is there to protect unpopular speech.",Andrew Torba
Bitcoin is the most significant achievement for those who agree with Natural Law Theory since the founding fathers wrote the Declaration of Independence and the Constitution.,Marty Bent
"It's times like this in which it is most imperative to stick up for your civil liberties in the Digital Age. Do not let these corrupt, evil, power-hungry sociopaths leverage public fear to take away our ability to use encryption technology.",Marty Bent
"Three eras of currencies: commodity based, government based, and math based.",Chris Dixon
Bitcoin is not a company. Bitcoin doesn't have debt. Bitcoin doesn't go bankrupt.,Bitcoin Tina
Bitcoin does not waste energy — it consumes energy waste.,Conner Brown
It’s very attractive to the libertarian viewpoint if we can explain it properly. I’m better with code than with words though.,Satoshi Nakamoto
"Fiat is broken, and you can’t fix it. Bitcoin works, and you can’t break it.",Lina Seiche
"There are only going to be 21 million coins, there are billions of people in the world, some reasonable percentage of who might find it interesting to own a piece of Bitcoin.",Adam Back
"You don’t need permission from anyone to do, say, or be who you want to be in this century, particularly with something like Bitcoin which is designed to be permissionless.",Chantelle de la Rey
Bitcoin is programmed to not care about your demand.,Saifedean Ammous
A fool and their leveraged Bitcoin are soon parted.,Caitlin Long
"To ascribe to the State the power of dictating the laws of exchange, is to ignore the fundamental principles of money-using society.",Ludwig von Mises
Bitcoin has contracted out humans to keep it alive.,Marty Bent
"Bitcoin hasn’t yet been displaced in twelve years despite the arrival of over 8,000 competitors.",Lyn Alden
Every time I open Google I search 'What is Bitcoin',Matt Odell
Bitcoiners hate good leaders and despise bad leaders.,Pierre Rochard
We can never build a 100 percent efficient system,Dhruv Bansal
"In a world full of lies, Bitcoin is truth.",RD
The return of money is more important than the return on money.,Steff
The heartbeat of the Bitcoin network will outlast all of ours.,Gigi
"Open source software is a meritocracy of ideas, not of people. So people are always talking about ""Who controls Bitcoin?"" Good ideas control Bitcoin. Not people.",Ben Prentice
"I could potentially see a hard-fork in bitcoin, but only if the other option is that bitcoin dies. If anything is even vaguely debateable, then nothing will happen.",Tone Vays
"Strong hands, full hearts. Can’t lose.",American Hodl
It's not stable-with-respect-to-energy. [...] It's not tied to the cost of energy.,Satoshi Nakamoto
Bitcoin is the great motivator for society.,Optimist Fields
"If you don’t have privacy, you’re not a free man",Max Hillebrand
